No,Start,Destination,Route
K18 cut,Broadway,Ekkaduthangal,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy, CIPET"
19G,Broadway,Kovalam,"Central, LIC, DMS, SIET, Saidapet, Anna university, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi, Kanathur, Muttukadu boat yard"
PP19,Broadway,Injambakkam,"Marina Beach, Thiruvanmiyur"
PP19xt,Broadway,Kovalam,"Marina Beach, Thiruvanmiyur, Injambakkam"
20,Broadway,Villivakkam,
20A,Broadway,Mugappair West,"Central RS, Periyamedu, Purasaiwakkam, Villivakkam, Nadhamuni, Ambattur I.E"
20B,Broadway,Menambedu,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT"
20C,Broadway,Oragadam,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT"
20M,Broadway,Kumaran Nagar,Villivakkam
20N,Broadway,Poombukar,Villivakkam
21,Broadway,Mandaveli,"Mylapore, Luz, Ajanta, Express Avenue, L.I.C, Simpson, Central"
21D,Broadway,Thiruvanmiyur,"Indira Nagar, Besant Nagar, Foreshore Estate, Anna Square"
21E,Broadway,Iyyapanthangal,"Porur, Guindy, Adayar, Foreshore Estate, Anna Square"
21G,Broadway,Tambaram,"Anna Square, Mylapore, Mandaveli, Adyar Gate, Guindy"
21H,Broadway,Kelambakkam,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Navalur"
21K,Broadway,Bharath Electronics,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, Anna University, Guindy, Butt Road, Defence Colony"
21L,Broadway,Velachery,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, Anna University, Rajbhavan, Checkpost, Dhandeswarnagar"
21L xt,Broadway,Kilkattalai,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, Anna University, Velachery"
C21,Broadway,Ottiyambakkam,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Perumbakkam, Nukkanpalayam, Arasan Kazhani"
G21,Broadway,Chromepet,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy, Pallavaram"
H21,Broadway,Chemmenchery,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur"
L21,Broadway,Velachery,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, SRP Tools"
R21,Broadway,Pallavaram,"Eachangadu, Kilkattalai, Velachery, SRP, Adayar, Foreshore Estate, Anna Square"
S21,Broadway,Mettukuppam,Adyar
T21,Broadway,Kannagi Nagar,"Thoraipakkam, Adyar, Marina"
M21G,Broadway,Guindy,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university"
M21G xt,Broadway,Nanganallur,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy, Pazhavanthangal Station, Chidambaram Stores"
M21G xt,Broadway,Ekkaduthangal,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy"
